"Content type";"Record Number";Acronym;Title;ID;Teaser;Programme;"Start date";"End date";Language;"Available languages";"Last updated";URL
project;91153;CARE-MAN;"Healthcare by biosensor measurements and networking";17333;"Diagnostics at hospitals is based either on large-scale automated equipment or ELISA techniques based on bioassays which are not suitable for bedside and emergency medicine. Therefore CARE-MAN will provide a validated, intelligent, next-generation diagnostic device and system ...";FP6-NMP;2005-11-01;2011-04-30;en;en;"2011-05-30 15:25:19";https://cordis.europa.eu/project/rcn/91153_en.html
project;74384;ELISHA;"Electronic Immuno-Interfaces and Surface Nanobiotechnology: A Heterodoxical Approach.";505485;"Molecular events occurring at the Nan scale impact on the macroscopic level in many different areas and rules for controlled manufacture at the Nan scale are important to understand. The ELISHA project is designed to improve knowledge in molecular interfaces and enable manufac...";FP6-NMP;2004-01-01;2007-06-30;en;en;"2010-01-20 00:00:00";https://cordis.europa.eu/project/rcn/74384_en.html
project;75473;EPG;"European virtual institute for functional genomics of bacterial pathogens";512061;"Bacterial infections remain a major cause of disease and mortality in humans and animals throughout the world, he study of infectious disease, which is established in Europe in form of various national research centres and by a considerable number of lab oratories, needs a mul...";FP6-LIFESCIHEALTH;2005-07-01;2010-06-30;en;en;"2010-10-25 00:00:00";https://cordis.europa.eu/project/rcn/75473_en.html
project;88198;PATIENTPARTNER;"Identifying the Needs for Patients Partnering in Clinical Research";201720;"The aim of this 3-year Coordination Action will be to identify the patients’ needs for partnership in the clinical trials context. Moreover, this project will lead to both a well-organized and sustainable communication platform and guidelines to enable the mutual beneficial i...";FP7-HEALTH;2008-05-01;2011-04-30;en;en;"2017-05-29 12:16:59";https://cordis.europa.eu/project/rcn/88198_en.html
project;88150;EUROSYSTEM;"European Consortium for Systematic Stem Cell Biology";200720;"EuroSyStem brings together elite European research teams to create a unique and world-leading programme in fundamental stem cell biology. By interconnecting complementary biological and computational expertise we will drive the generation of new knowledge on the characteristi...";FP7-HEALTH;2008-03-01;2012-08-31;en;en;"2017-05-29 11:54:09";https://cordis.europa.eu/project/rcn/88150_en.html
project;84924;PROLIGEN;"Hypoxic renal proliferation";36813;"PROLIGEN aims to enhance the endogenous regenerative capacity of injured kidneys based on information derived from genomics/proteomics and functional genomics. The approach of PROLIGEN is: a) To define and identify set of genes/proteins associated with functional recovery from...";FP6-LIFESCIHEALTH;2006-11-01;2009-10-31;en;en;"2013-03-26 00:00:00";https://cordis.europa.eu/project/rcn/84924_en.html
project;81227;REPRO;"Reducing food processing waste";6922;"There is great pressure from consumers and legislation (e.g. EC Landfill Directive) for food processors to reduce disposal of co-product wastes which are biologically complex, environmentally unfriendly, and often microbiologically unstable. REPRO addresses all requirements of...";FP6-FOOD;2005-02-01;2008-01-31;en;en;"2013-03-26 00:00:00";https://cordis.europa.eu/project/rcn/81227_en.html
project;86688;ARISE;"Affording Recovery In Stroke";201024;"Stroke poses a massive clinical, social and economic burden, yet we have very limited effective therapies. This inadequacy is in spite of intensive research efforts and numerous failed clinical trials. Leading European stroke researchers and clinicians with a track record of ...";FP7-HEALTH;2008-03-01;2013-08-31;en;en;"2017-05-29 12:00:17";https://cordis.europa.eu/project/rcn/86688_en.html
project;67322;EUROFAMCARE;"Services for supporting family carers of elderly people in europe : characteristics, coverage and usage (EUROFAMCARE)";QLK6-CT-2002-02647;"EUROFAMCARE will provide a European review of the situation of family carers of elderly people in relation to the existence, familiarity, availability, use and acceptability of supporting services. Six countries and the WHO Europe will form a trans-European core group. A pan-E...";"FP5-LIFE QUALITY";2003-01-01;2005-12-31;en;en;"2005-04-12 00:00:00";https://cordis.europa.eu/project/rcn/67322_en.html
project;95503;SYNSYS;"Synaptic Systems: dissecting brain function in health and disease";242167;"Major disorders of the Central Nervous System (CNS) affect one in three people in the developed world, often seriously disable the affected individual, and together account for the single largest burden on the healthcare systems of the EU. Most of these disorders act at the n...";FP7-HEALTH;2010-07-01;2014-12-31;en;en;"2017-05-29 19:01:11";https://cordis.europa.eu/project/rcn/95503_en.html
project;93427;REMEDI;"Resolution Enhanced Microscopy for Medical Diagnostics";242276;"Since the histopathological diagnosis of tumours is based on microscopy, it would be highly desirable to possess a microscopical technique allowing morphological investigation with a wide zoom range, high resolution and the implementation of multiplex staining. Thus, the goal...";FP7-HEALTH;2010-01-01;2013-06-30;en;en;"2017-05-25 22:32:10";https://cordis.europa.eu/project/rcn/93427_en.html
project;85444;METABO;"Controlling Chronic Diseases related to Metabolic Disorders";216270;"The aim of METABO is to set up a comprehensive platform, running both in clinical settings and in every-day life environments, for continuous and multi-parametric monitoring of the metabolic status in patients with, or at risk of, diabetes and associated metabolic disorders.T...";FP7-ICT;2008-01-01;2012-08-31;en;en;"2017-04-21 02:01:59";https://cordis.europa.eu/project/rcn/85444_en.html
project;93747;MONARCA;"MONitoring,  treAtment and pRediCtion of bipolAr Disorder Episodes";248545;"MONARCA will develop and validate solutions for multi-parametric, long term monitoring of behavioural and physiological information relevant to bipolar disorder. It will combine those solutions with an appropriate platform and a set of services into an innovative system for m...";FP7-ICT;2010-02-01;2013-07-31;en;en;"2017-04-20 03:02:46";https://cordis.europa.eu/project/rcn/93747_en.html
project;191891;SEHGovIA;"Supporting the European eHealth Governance Initiative and Action";270941;"Initiated by the EU Member States and supported by the European Commission the EU eHealth Governance Initiative was set up in 2009. This political initiative will be supported by two different instruments: the proposed Joint Action – eHealth Governance Initiative and the Them...";CIP;2011-02-01;2014-06-30;en;en;"2017-04-25 01:06:27";https://cordis.europa.eu/project/rcn/191891_en.html
project;90167;TROJA;"Targeting Receptors Of Jointly Assembled Ligand-Drug Constructs";233312;"The TROJA proposal is an investigative bioengineering study of the exploitation of specific endocytic receptors for targeting small molecule drugs to specific cells in order to improve medical therapy. This is a new approach with scientific roots in the basic research on endo...";FP7-IDEAS-ERC;2009-04-01;2014-03-31;en;en;"2017-05-25 18:46:22";https://cordis.europa.eu/project/rcn/90167_en.html
project;93722;TUMOR;"Transatlantic TUmour MOdel Repositories";247754;"The project aims at developing a European clinically oriented semantic-layered cancer digital model repository from existing EU projects that will be interoperable with the US grid enabled semantic-layered digital model repository platform at CViT.org (Center for the Developm...";FP7-ICT;2010-04-01;2013-09-30;en;en;"2017-04-21 01:54:33";https://cordis.europa.eu/project/rcn/93722_en.html
project;106400;SynPlantMet;"Synthetic Metabolism in Plants: Elucidating Vinblastine Biosynthesis and Implementing Strategies to Overproduce Complex Plant Metabolites";311363;"Nature produces a spectacularly diverse array of complex molecules that are exploited for many applications. Elucidating the biosynthetic pathways that are used to construct these complex molecules allows implementation of metabolic engineering or synthetic biology strategies...";FP7-IDEAS-ERC;2013-02-01;2018-01-31;en;en;"2016-03-31 13:16:20";https://cordis.europa.eu/project/rcn/106400_en.html
project;85437;PSIP;"PATIENT SAFETY THROUGH INTELLIGENT PROCEDURES IN MEDICATION";216130;"Adverse Drug Events (ADE) due to product safety problems, and medication errors due to human factors (HF) are a major Public Health issue. They endanger the patients' safety and originate considerable extra hospital costs.Healthcare ICT applications should help reducing the p...";FP7-ICT;2008-01-01;2011-07-31;en;en;"2017-03-31 23:27:09";https://cordis.europa.eu/project/rcn/85437_en.html
project;87306;"CONTRA CANCRUM";"Clinically Oriented Translational Cancer Multilevel Modelling";223979;"The ContraCancrum i.e. the Clinically Oriented Translational Cancer Multilevel Modelling project aims at developing a composite multilevel platform for simulating malignant tumour development and tumour and normal tissue response to therapeutic modalities and treatment schedu...";FP7-ICT;2008-08-01;2011-07-31;en;en;"2017-04-13 01:34:58";https://cordis.europa.eu/project/rcn/87306_en.html
project;96277;PROTLEGO;"Development of an accessible platform for  ex vivo site specific post-translational modifications of proteins";260647;"The incorporation of unnatural amino acids (more than 50 to date) into proteins in vivo has resulted in the generation of proteins with novel chemical, biological, and physical properties. However, some unnatural amino acids possess properties, such as an inability to cross t...";FP7-IDEAS-ERC;2010-10-01;2016-03-31;en;en;"2017-05-29 20:49:07";https://cordis.europa.eu/project/rcn/96277_en.html
project;71143;NOESIS;"Platform for wide scale integration and visual representation of medical intelligence";507960;"NOESIS' objectives as an integrated project are twofold; Advancing research in the areasconcerned and increasing the exploitation potential of the produced system. The NOESIS projectaims at the development of a web-based personalised system with enhanced intelligence that wil...";FP6-IST;2004-01-01;2007-03-31;en;en;"2017-04-01 00:00:16";https://cordis.europa.eu/project/rcn/71143_en.html
project;105886;InterAct-MemNP;"Interaction and actuation of lipid membranes with magnetic nanoparticles";310034;"Cell membranes contain a large part of the delicate machinery of life and comprise the barriers controlling access to and from the interior of the cell. With the increasing use of nanoparticles (NPs) in medical imaging, drug delivery, cosmetics and materials the need is great...";FP7-IDEAS-ERC;2013-01-01;2017-12-31;en;en;"2016-03-31 13:04:10";https://cordis.europa.eu/project/rcn/105886_en.html
project;105593;"Viral Host Factors";"Identification of Host Determinants for Virus
Entry using a Haploid Genetic Approach";309634;"The most powerful and direct way to get insight into complex biological systems is to remove individual components and observe the consequences. Cultured human cells are widely used to model and study aspects of human disease. Although human cells can be analyzed and manipula...";FP7-IDEAS-ERC;2013-01-01;2017-12-31;en;en;"2016-03-31 12:59:07";https://cordis.europa.eu/project/rcn/105593_en.html
project;101836;YIELD;"Is there a limit to yield?";294691;"Plant breeders are challenged with sustaining global crop improvements. Is there a limit to crop yield? This project will address this central question using processing tomatoes as a model for a mechanized crop. By integrating in a single web-based platform of ‘Phenom Network...";FP7-IDEAS-ERC;2012-01-01;2016-12-31;en;en;"2016-09-05 09:34:19";https://cordis.europa.eu/project/rcn/101836_en.html
project;92124;TMIHCV;"Microfabrication-Based Rational Design of Transcriptional-Metabolic Intervention for the Treatment of Hepatitis C Virus (HCV) Infection";242699;"Hepatitis C Virus (HCV) infection affects over 3% of the world population and is the leading cause of chronic liver disease worldwide. Current treatments are effective in only 50% of the cases and associated with significant side effects. Therefore, there is a pressing need f...";FP7-IDEAS-ERC;2010-04-01;2015-03-31;en;en;"2017-05-25 22:36:56";https://cordis.europa.eu/project/rcn/92124_en.html
project;52361;ENTRANSFOOD;"European network on safety assessment of genetically modified food crops";QLK1-CT-1999-01182;"to identify key issues of the safety evaluation of genetically modified food crops, and to examine whether current research methods are adequate to characterise specific safety hazards;
to co-ordinate ongoing research regarding safety testing of transgenic foods in the framewo...";"FP5-LIFE QUALITY";2000-01-01;2003-07-01;en;en;"2005-04-12 00:00:00";https://cordis.europa.eu/project/rcn/52361_en.html
project;68778;GENERA;"Genetics for the european research area (GENERA)";QLG2-CT-2002-90455;"Estonian Bio centre is a FP5 INCO 2 centre of excellence, actively participating in a number of EC FP5 projects and in many other international R&D activities. The main objective of this proposal is building of an efficient platform for a successful entering of the Estonian Bi...";"FP5-LIFE QUALITY";2003-02-01;2006-01-31;en;en;"2005-04-12 00:00:00";https://cordis.europa.eu/project/rcn/68778_en.html
project;83989;EUROMEDCITRUSNET;"Safe and high quality supply chains and networks for the citrus industry between Mediterranean partner Countries and Europe";43146;"The citrus industry's importance to the Mediterranean is clear, its countries being among the world's top producers and Europe one of the largest sumers. Increased demand in recent years has been fuelled by the promotion of fruit for a well balanced diet and sumer awareness of...";FP6-FOOD;2006-10-01;2008-10-31;en;en;"2013-03-26 00:00:00";https://cordis.europa.eu/project/rcn/83989_en.html
project;80094;BIOSAFENET;"Biosafety Research Communication Network";43025;"In the public debate on the biosafety of genetically modified organisms (GMO), the results and even the existence of GMO biosafety research are often ignored. As a consequence, the already established stable basis for a science-based discussion on GMO biosafety is not fully ex...";FP6-FOOD;2006-09-01;2009-02-28;en;en;"2013-03-26 00:00:00";https://cordis.europa.eu/project/rcn/80094_en.html
project;58094;WARD-IN-HAND;"Mobile Workflow support and informAtion distribution in hospitals via voice-opeRateD, wIreless-Networked HANDheld PCs.";IST-1999-10479;"This Project will design, develop, pilot, evaluate an innovative Internet-based E-Commerce platform (E-NTRY) enabling more open, transparent, fair and, at the same time, more efficient and more cost-effective industrial procurement practices. The software system will support i...";FP5-IST;2000-01-01;2002-03-31;en;en;"2005-06-13 00:00:00";https://cordis.europa.eu/project/rcn/58094_en.html
project;32076;SAMMIE;"SOLUTION AVANCÉE POUR LE MARCHÉ MÉDICAL INTRA-HÔPITAL EUROPÉEN";HC1044;"Hospitals in the EU account for nearly half of its total health budget, so they have to combine improved quality assurance with increasingly transparent cost-effective services. SAMMIE will bring this objective closer via a multi-functional telematics system for better patient...";"FP4-TELEMATICS 2C";1996-01-01;1997-08-31;en;en;"1996-06-24 00:00:00";https://cordis.europa.eu/project/rcn/32076_en.html
project;86281;SAGE;"SME-led antibody glyco-engineering";37241;"The aim of the SAGE project is to establish an improved plant production platform for pharmaceutical glycoproteins. Plant systems are inexpensive, scalable and safe, providing unique advantages for the production of pharmaceutical proteins, including therapeutic antibodies tha...";FP6-LIFESCIHEALTH;2007-04-01;2010-09-30;en;en;"2010-12-15 00:02:53";https://cordis.europa.eu/project/rcn/86281_en.html
project;78766;PROTEOMAGE;"Functional analysis of evolutionarily conserved mechanisms of ageing on advanced proteome analysis";518230;"The aim of the proposal is to gain novel insight into molecular mechanisms of healthy ageing. Based on a proteomic analysis of ageing processes in a variety of ageing models including model organisms and model systems (e.g. human cell cultures), we will ad dress the question h...";FP6-LIFESCIHEALTH;2006-03-01;2011-08-31;en;en;"2011-09-23 13:53:31";https://cordis.europa.eu/project/rcn/78766_en.html
project;37484;IBIS;"Improved monitoring for brain dysfunction in intensive care and surgery";BMH4972570;"Develop and evaluate in the neuromonitorig domain multi-parameter hybrid biosignal interpretation (BSI) methods;
For detection of hypoxic central nervous system (CNS) dysfunction during surgery and intensive care
For early detection of multiple-organ failure (MOF) and systemic...";"FP4-BIOMED 2";1997-06-01;2000-05-31;en;en;"2002-07-03 00:00:00";https://cordis.europa.eu/project/rcn/37484_en.html
project;61779;;"Evolving drugs- with a new proprietary technology- to fit the therapeutic needs of the european pharmaceutical industry";QLK3-CT-2001-42144;"Evolve intends to redesign the entire process of discovering and optimising drugs. It aims to replace the ""traditional"" methods used throughout the pharmacy industry with a technology platform (Watchmaker TM) based on genetic constructs that generate and then evolve small mole...";"FP5-LIFE QUALITY";2001-08-31;2002-04-29;en;en;"2005-04-12 00:00:00";https://cordis.europa.eu/project/rcn/61779_en.html
project;54021;;"To explore the use of innovative biostatistical analysis in the identification of novel disease-genes";QLG1-CT-2000-40653;"HiberGen mission is to identify 'disease-genes'. HiberGen's core competency is in the identification of gene mutations or SNPs, using a proprietary mutation detection platform technology, called SNaPIT. HiberGen has secured broad access to selected patient groups within the ge...";"FP5-LIFE QUALITY";2000-07-03;2001-07-02;en;en;"2005-04-12 00:00:00";https://cordis.europa.eu/project/rcn/54021_en.html
project;61436;;"New system of packaging for viscous products fully recyclable, sterilisable, allowing to dose the product and to close without air";QLK1-CT-2000-41100;"The entry of oxygen in the package while the product is consumed provokes the reduction of the shelf life of the product due to oxidation reactions happened within the package that hastens the velocity of deterioration of the contents. The aim of the project is to research and...";"FP5-LIFE QUALITY";2000-12-20;2001-12-19;en;en;"2005-04-12 00:00:00";https://cordis.europa.eu/project/rcn/61436_en.html
project;67428;"DNA SWITCH";"Novel surfaces for switchable nucleic acids adsorption/ desorption for analytical assays";QLK3-CT-2002-02075;"This proposal aims to provide platform technology for the rapid extraction and purification of genetic material (DNA and RNA) from any kind of sample (medical and environmental). End user applications cover all fields in which the analysis of genetic material is important, inv...";"FP5-LIFE QUALITY";2003-01-01;2006-12-31;en;en;"2006-06-13 00:00:00";https://cordis.europa.eu/project/rcn/67428_en.html
project;63670;EDCTP;"European and developing countries clinical trials programme (EDCTP)";QLK2-CT-2002-30198;"The objective of this Accompanying Measure is to create the European Clinical Trials Platform for Poverty Related Diseases (ECTP). This will be achieved by systematic analysis of the proposed functions and operational structure of theft, based on Article 169 of the Treaty of R...";"FP5-LIFE QUALITY";2002-06-01;2003-08-31;en;en;"2005-04-12 00:00:00";https://cordis.europa.eu/project/rcn/63670_en.html
project;57192;SALUT;"Intelligent Environment for Diagnostics, Treatment and Prevention of Eating Disorders";IST-2000-25026;"SALUT will leverage advances in information and telecommunications technology to design, prototype and trial innovative tools and cost effective treatment strategies for the prevention and treatment of eating disorders.

Technology and scientific partners will jointly develop ...";FP5-IST;2001-01-01;2004-03-31;en;en;"2005-06-13 00:00:00";https://cordis.europa.eu/project/rcn/57192_en.html
project;79489;SIMAP;"Simulation modelling of the MAP kinase pathway";027265;"The MAP-kinase pathway is a major pathway in relaying signals from the plasma membrane into the nucleus. Its comprehensive understanding is needed for rational anti-cancer therapies.

SIMAP will develop a comprehensive and robust simulation model of the pathway; populating it ...";FP6-IST;2006-01-01;2008-12-31;en;en;"2007-03-12 00:00:00";https://cordis.europa.eu/project/rcn/79489_en.html
project;61000;INFOGENE;"INteractive platform FOr personal GENEtic profile construction, decision support";IST-2001-33402;"INFOGENE will design, implement and evaluate a set of information technology (IT) components communicating through Internet to enable citizens to manage their lifestyle in the light of modern genetic knowledge. Personal digital assistants will be linked to a multilingual web-b...";FP5-IST;2001-10-01;2004-09-30;en;en;"2005-06-13 00:00:00";https://cordis.europa.eu/project/rcn/61000_en.html
project;57846;KARMA2;"Knowledge and Augmented Reality Management Assistance";IST-2001-32320;"The KARMA2 project focuses on the creation and development of an organisational model to efficiently and adequately manage home-care activities in specific patient populations and the delivery of health care services in general. KARMA2 will establish an easily accessible netwo...";FP5-IST;2001-09-01;2003-08-31;en;en;"2005-06-13 00:00:00";https://cordis.europa.eu/project/rcn/57846_en.html
project;54812;@HOME;"Remote Home Monitoring of Patients";IST-2000-26083;"The @HOME project aims to enhance patient welfare and quality of life across the EU. The project introduces next-generation, user-friendly, cost-effective and interoperable general-interest health services by ensuring hospitals make best use of state of the art technology in c...";FP5-IST;2001-01-01;2003-03-31;en;en;"2005-06-13 00:00:00";https://cordis.europa.eu/project/rcn/54812_en.html
project;71245;PIPS;"Personalized Information Platform for Life and Health Services";507019;"The PIPS project will make a significant step forward in the processes for healthcare (HC) delivery to the European Public by means of creating a new Health and Life Knowledge and Services Support Environment. This will improve current HC delivery models while creating possib...";FP6-IST;2004-01-01;2008-06-30;en;en;"2016-04-11 16:59:56";https://cordis.europa.eu/project/rcn/71245_en.html
project;48255;FOODFORUM;"An innovative research forum for an innovative and globally competitive European food industry";FAIR984350;"The global objective of this project is to create a platform involving academia and industry for the: marketing, interaction with the environment and consumer well-being, including aspects related to nutrition, health, acceptability and preferences); generation of young gradua...";FP4-FAIR;1999-01-01;2001-12-31;en;en;"1999-06-03 00:00:00";https://cordis.europa.eu/project/rcn/48255_en.html
project;39709;;"Filamentous fungi as cell factory for the production of industrial importation products";BIO4950240;;"FP4-BIOTECH 2";1996-01-01;1998-12-31;en;en;"1998-08-27 00:00:00";https://cordis.europa.eu/project/rcn/39709_en.html
project;86299;HIGHREX;"High resolution X-ray imaging for improved detection and diagnosis of breast cancer";37642;"Breast cancer is currently the most common cause of death for women below seventy years of age and currently over 100 million European women are screened every year for early detection through mammography.The objective of the proposal is to increase the efficiency in detection...";FP6-LIFESCIHEALTH;2007-03-01;2010-08-31;en;en;"2013-03-26 00:00:00";https://cordis.europa.eu/project/rcn/86299_en.html
project;81090;INPLISTA;"Information Platform on International Standards for SMEs in the food sector";518696;"The discrepancy between price pressure and food quality is the major problem of every Food SME; being enforced by the retailers, who are only willing to buy from certified producers nevertheless at a cheap price. Therefore it is important for each SME in Europe to know exactly...";FP6-FOOD;2007-04-01;2009-03-31;en;en;"2013-03-26 00:00:00";https://cordis.europa.eu/project/rcn/81090_en.html
project;86278;"SPIDERA FOR LIFE";"Speeding collaborations in the life science and health domain of the European research area and beyond";37207;"The EC currently undertakes most networking through physical meetings (personal, conferences, trade shows etc.). The same is also true for NCPs and IRCs (direct meetings and workshops) and ETI projects, which also facilitate physical networking. Physical networking activities ...";FP6-LIFESCIHEALTH;2007-02-01;2009-01-31;en;en;"2013-03-26 00:00:00";https://cordis.europa.eu/project/rcn/86278_en.html
project;84713;DIANA;"Predictive diagnostics for diabetic nephropathy (DiaNa) - novel nanotechnology based test platforms";37681;"This proposal combines the accumulated expertise from a previous FP5 EU project, Mechanisms of Proteinuria (QLG1-2000-00691) and an ongoing FP6 project, ADDNET (LSHB-CT-2003-503 364). We will utilize the latest knowledge on the pathophysiology of diabetic nephropathy and newly...";FP6-LIFESCIHEALTH;2006-12-01;2009-11-30;en;en;"2013-03-06 14:28:50";https://cordis.europa.eu/project/rcn/84713_en.html
project;75336;"INTERACTION PROTEOME";"Functional Proteomics: Towards defining the interaction proteome";505520;"The aim of INTERACTION PROTEOME is to establish Europe as the international scientific leader in functional proteomics, i.e. in the analysis of protein-protein interactions. Major objectives include the establishment of a broadly applicable platform of routine methods for the ...";FP6-LIFESCIHEALTH;2004-01-01;2009-06-30;en;en;"2008-10-17 00:00:00";https://cordis.europa.eu/project/rcn/75336_en.html
project;93281;NANOSENSE;"Moving sensitive immunoassays from slow and expensive to fast and affordable nanoparticle-based methods";37245;"Background: 
Traditionally, immunoassays have been separation based, meaning that the analyte of interest goes through several steps of antibody binding, washing and separation before final detection. This type of assay requires high use of consumables, which is expensive, an...";FP6-LIFESCIHEALTH;2007-01-01;2009-12-31;en;en;"2009-12-14 00:00:00";https://cordis.europa.eu/project/rcn/93281_en.html
project;86305;COBRED;"Colon and breast cancer diagnostics";37730;"COBRED aims at discovering colon cancer (CRC) and breast cancer (BC) biomarkers for patient follow-up (monitoring markers) by exploiting the capacity of 3 state-of-the-art high-throughput technologies in an integrated systems biology approach. The specific RTD objectives are t...";FP6-LIFESCIHEALTH;2007-03-01;2010-08-31;en;en;"2010-08-31 09:28:10";https://cordis.europa.eu/project/rcn/86305_en.html
project;75330;PREDICTOMICS;"Short-term in vitro assays for long-term toxicity";504761;"The development of new pharmaceutical compounds will be more efficient if human relevant toxicology information early in the selection process is available. While acute toxicity can be reasonably detected during the early preclinical stages of drug development, long-term toxic...";FP6-LIFESCIHEALTH;2004-09-01;2007-12-31;en;en;"2009-12-14 00:00:00";https://cordis.europa.eu/project/rcn/75330_en.html
project;75327;E-MEP;"European Membrane Protein Consortium";504601;"E-MeP's research platform will focus on developing and implementing new technologies to solve the bottlenecks that preclude the determination, at high throughput, of high-resolution structures of membrane proteins and membrane protein complexes. This will be achieved by integr...";FP6-LIFESCIHEALTH;2004-05-01;2009-10-31;en;en;"2009-04-28 00:00:00";https://cordis.europa.eu/project/rcn/75327_en.html
project;71443;CARDITIS;"Simulation based automated diagnosis, treatment and prognosis of cardiovascular diseases";507170;"The complexity of the cardiovascular system reduces the efficiency of several existing techniques for 3D reconstruction and surgery planning. CARDITIS's objective is to overcome the weaknesses of the existing methods for the accurate reconstruction and simulation of the cardia...";FP6-IST;2004-04-01;2006-09-30;en;en;"2007-12-10 00:00:00";https://cordis.europa.eu/project/rcn/71443_en.html
project;70371;BLOODGEN;"Blood grouping and genotyping : improving patient safety and blood transfusion compatibility";QLK3-CT-2003-01772;"Currently, all blood utilised in transfusion is phenotype by serological means. As a consequence, blood is not phenotype for all clinically significant antigens and there is a real risk of patients becoming all immunised to incompatible blood units. The Blooded consortium prop...";"FP5-LIFE QUALITY";2003-06-01;2006-05-31;en;en;"2005-04-12 00:02:53";https://cordis.europa.eu/project/rcn/70371_en.html
project;67276;CD-CHEF;"Quantification of coeliac disease toxic gluten in foodstuffs using a chip system with integrated extraction, fluidics and biosensoric detection step 2 of exploratory award exaw-1999-01542";QLK1-CT-2002-02077;"The overall objective of the project is the development of a disposable microsystem with integrated optimal extraction and detection for the precise $ accurate quantitation of coeliac disease toxic gluten (CD-toxic gluten sequences of gluten to which coeliac disease sufferers ...";"FP5-LIFE QUALITY";2003-01-01;2006-12-31;en;en;"2005-12-09 00:00:00";https://cordis.europa.eu/project/rcn/67276_en.html
project;58961;"CEREALGENE TAGS";"Tagging of rice genes for use in cereals (CEREALGENE TAGS)";QLG2-CT-2001-01453;"Human nutrition is based on cereals, where Rice is the model because of its small genome, detailed molecular maps and ease of transformation. We aim to use functional genomics and proteomics in rice for which a rough draft of the genome sequence is available. The integrated st...";"FP5-LIFE QUALITY";2001-11-01;2005-04-30;en;en;"2005-04-12 00:00:00";https://cordis.europa.eu/project/rcn/58961_en.html
project;67453;CARMA;"Care for the aged at risk of marginalization (CARMA)";QLK6-CT-2002-02341;"CARMA aims to enhance the well being of the growing aged population in Europe. CARMA will pool the resources of academic research institutions, social service providers and educational institutions to analyse current social care services for the aged from a multitude of angles...";"FP5-LIFE QUALITY";2003-01-01;2005-12-31;en;en;"2005-04-12 00:00:00";https://cordis.europa.eu/project/rcn/67453_en.html
project;75307;EURO-THYMAIDE;"NOVEL APPROACHES TO PATHOGENESIS, DIAGNOSIS AND TREATMENT OF AUTOIMMUNE DISEASES BASED ON NEW INSIGHTS INTO THYMUS-DEPENDENT SELF-TOLERANCE";503410;"Autoimmune diseases are a significant burden for the quality of life and health care cost. Despite intense research efforts, the mechanisms underlying the development of autoimmune diseases are still largely obscure. This obvious ignorance explains why the current treatment of...";FP6-LIFESCIHEALTH;2004-01-01;2008-12-31;en;en;"2009-08-24 00:00:00";https://cordis.europa.eu/project/rcn/75307_en.html
project;96717;PANOPTES;"Peptide-based Nanoparticles as Ocular Drug Delivery Vehicles";246180;"This project will develop methodology for the manufacture of novel peptide-based nanoparticles and nanocapsules to satisfy an unmet clinical need: sustained drug delivery to the posterior segment of the eye. The proposed consortium brings together internationally leading grou...";FP7-NMP;2010-11-01;2014-10-31;en;en;"2017-05-25 23:16:59";https://cordis.europa.eu/project/rcn/96717_en.html
project;94257;SUBLIMA;"SUB nanosecond Leverage In PET/MR ImAging";241711;"The SUBLIMA project aims at truly simultaneous, fully integrated, solid-state PET/MR technology for concurrent functional and anatomical imaging with unsurpassed image quality. It will combine the extremely sensitive functional imaging possibilities provided by PET with the e...";FP7-HEALTH;2010-09-01;2015-02-28;en;en;"2017-05-25 22:23:44";https://cordis.europa.eu/project/rcn/94257_en.html
project;87833;EURONEUT-41;"EUROpean consortium on NEUTralising antibodies using gp41";201038;"There is now an increasingly solid body of scientific evidence which demonstrates that the binding of small molecular weight compounds, peptides and antibodies (Abs) to fusion-intermediate conformations of gp41 leads to an inhibition of HIV cell entry. The principal aim of th...";FP7-HEALTH;2008-01-01;2014-03-31;en;en;"2017-05-29 12:02:41";https://cordis.europa.eu/project/rcn/87833_en.html
project;75264;EUROXY;"Targeting newly discovered oxygen-sensing cascades for novel cancer treatments Biology, equipment, drug candidates.";502932;"The last decade's basic and clinical oncology research has revealed a number of so far unrecognised regulating responses (e.g. HIF-1) in cells exposed to hypoxia. These processes have been proven highly important for embryonic development and survival and seem to have a major ...";FP6-LIFESCIHEALTH;2004-02-01;2009-01-31;en;en;"2009-04-28 00:00:00";https://cordis.europa.eu/project/rcn/75264_en.html
project;75691;RISET;"Reprogramming the immune System for the Establishment of Tolerance";512090;"Transplantation dramatically improves the survival of patients with end-stage failure of vital organs. However, as a directconsequence of the immunosuppressive drugs permanently required to prevent rejection, recipients have a significantly increased risk of infection and mali...";FP6-LIFESCIHEALTH;2005-03-01;2010-08-31;en;en;"2010-10-12 00:00:00";https://cordis.europa.eu/project/rcn/75691_en.html
project;74141;REPLACE;"Plants and their extracts and other natural alternatives to antimicrobials in feeds";506487;"Growth-promoting antibiotics will be banned in the EU by 2006. Livestock producers need alternative means of obtaining similar production benefits to maintain profitability and competitiveness against overseas producers, including the US, where such restri ctions do not exist....";FP6-FOOD;2004-03-01;2009-05-31;en;en;"2009-09-10 00:00:00";https://cordis.europa.eu/project/rcn/74141_en.html
